"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..14,Торт Трюфель Варто 400г
Еталонний місяць,Травень,Травень,Травень,Мануилова А..14,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..14,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..14,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..14,44 643
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..14,626
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..14,"59,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..14,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..14,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..14,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..14,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..14,50%
"Витрати на активацію, грн",0,0,0,Мануилова А..14,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..14,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..14,"1,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..14,"1,3"
,,,,Мануилова А..14,
Резульати,,,,Мануилова А..14,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..14,888
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..14,53 839
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..14,19 085
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..14,20 728
,,,,Мануилова А..14,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..14,2 049
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..14,406
,93 185,65 126,7 246,Мануилова А..14,2 455
"PL, грн план",137 366,123 334,5 677,Мануилова А..14,-812
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..14,"-1,51%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..15,01.07-09.07.25
Мережа,Варус,Варус,Варус,Мануилова А..15,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..15,Тістечко Еклери з заварним кремом 1шт Флоу Пак БОКС Варто
Еталонний місяць,Травень,Травень,Травень,Мануилова А..15,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..15,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..15,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..15,37 200
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..15,248
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..15,"71,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..15,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..15,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..15,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..15,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..15,60%
"Витрати на активацію, грн",0,0,0,Мануилова А..15,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..15,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..15,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..15,"2,3"
,,,,Мануилова А..15,
Резульати,,,,Мануилова А..15,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..15,609
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..15,77 674
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..15,19 921
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..15,37 672
,,,,Мануилова А..15,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..15,6 629
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..15,772
,93 185,65 126,7 246,Мануилова А..15,7 401
"PL, грн план",137 366,123 334,5 677,Мануилова А..15,10 350
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..15,"13,33%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..16,01.07-09.07.25
Мережа,Варус,Варус,Варус,Мануилова А..16,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..16,Тістечко Еклери з солоною карамеллю 1шт Флоу Пак БОКС Варто
Еталонний місяць,Травень,Травень,Травень,Мануилова А..16,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..16,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..16,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..16,41 100
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..16,283
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..16,"62,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..16,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..16,12%
